Name,Video Link,YouTube Link,Ingredients,Overview ,Directions,Benefits ,Category,Diet Type,Protein Type,Protein,Carbs,Fats,Calories,Meal Replacement,Gluten Free,Nut Free,Soy Free,Caffeine Free,Sugar Free
Apple and Lemon Smoothie,,,"1 apple, cored
1/2 cup frozen pineapple
1 teaspoon lemon juice
1 scoop rice protein powder
1 cup coconut water","This Apple and Lemon smoothie recipe will help you recover faster, get more energized, and get through your workout with ease.",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Pre Workout Shakes,Plant Based,Rice Protein,23 g,61 g,4 g,354,No,Yes,Yes,Yes,Yes,Yes
Citrus Pre Workout Shake,https://www.dropbox.com/s/c0m6ictiqgzp1bl/Citrus%20Pre%20Workout%20Shoot%20v2.mp4?dl=0,https://youtube.com/shorts/7hySgH-nAkw,"1 orange, 1 frozen banana, 1 teaspoon lemon juice, 1/2 cup light coconut milk, 1 scoop plant based protein powder",Looking for a healthy pre-workout shake recipe? This citrus shake is packed with nutrients to help fuel your workout.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Pre Workout Shakes,Paleo,Plant Based,27 g,47 g,9 g,363,No,Yes,Yes,Yes,Yes,Yes
Strawberry Mint,,,"1/2 cup frozen strawberries
2 tbs mint leaves
1/2 cup light coconut milk
1 tbs lime juice
1 scoop pea protein powder","This shake is packed with healthy ingredients that will help power you through your workout. With protein, fiber and plenty of vitamins, this shake will give you the energy you need to stay focused and motivated.",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Pre Workout Shakes,Vegan ,Pea Protein,25 g,23 g,9 g,259,No,Yes,Yes,Yes,Yes,Yes
Hard Greens Shake,,,"1/2 cup spinach
1/2 cup kale
1/2 cup frozen pineapple
1 scoop pea protein powder
1 cup coconut water",Hard Greens is a pre-workout shake that provides you with the necessary vitamins and nutrients to give your workout an extra boost.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Pre Workout Shakes,Whole 30,Pea Protein,28 g,26 g,2 g,227,No,Yes,Yes,Yes,Yes,Yes
Keto Pre-workout Berry Smoothie,,,"1/4 cup frozen mixed berries
1/2 cup coconut milk
1 scoop whey protein powder
1/2 cup ice",This is the perfect keto pre-workout smoothie recipe. It has all of your electrolytes and healthy fats to keep you going strong through a tough workout! ,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Pre Workout Shakes,Keto,Whey Protein,27 g,18 g,21 g,352,No,Yes,Yes,Yes,Yes,Yes
Rasberry and Pineapple Smoothie,,,"1/2 cup frozen raspberries
1/2 cup frozen pineapples
1 frozen bananas
1 scoop vanilla rice protein powder
1 cup almond milk","This delicious pre-workout smoothie is packed with antioxidants, vitamins, minerals, and electrolytes. It's perfect for hydrating before a workout or race.",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Pre Workout Shakes,Plant Based,Rice Protein,27 g,55 g,4 g,354,No,Yes,No,Yes,Yes,Yes
Cranberry Oat Smoothie,,,"1/2 banana, 1/4 tsp cinnamon, 1/2 oat milk, 1/2 tbs maple syrup, 1 scoop oat protein, 1/4 cup cranberries, 1/4 tsp vanilla extract",This cranberry and oat smoothie is a perfect addition to your pre-workout routine! It's full of healthy ingredients that will give you the energy and nutrition needed before hitting the gym. ,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Pre Workout Shakes,Vegan ,Oat Protein,23 g,40 g,4 g,282,No,Yes,Yes,Yes,Yes,No
Ruby Red,https://www.dropbox.com/s/jx2tzib9fgcwb66/Ruby%20Red%20v1.mp4?dl=0,https://youtube.com/shorts/aYXyiLgt0nQ,"½ frozen banana, ½ cup raspberries, ¼ beetroot, 1 cup spinach, 1/2 cup light coconut milk, 1 tbs flax seed, 1 scoop protein powder, 1 cup ice",Ready for a bright red treat? This antioxidant-packed ruby red smoothie is bright in color and flavor.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Appearance,Superfood Smoothies,Vegan ,Plant Based,20.1 g,37.5 g,6.8 g,278,No,Yes,Yes,Yes,Yes,Yes
Banana Split,https://www.dropbox.com/s/sa9yqdg9ztseyls/Banana%20Split%20v2.mp4?dl=0,https://youtube.com/shorts/zCBWwov7YIo,"1 frozen banana, 1/2 cup frozen strawberries, 1/2 cup coconut yogurt, 1/2 tablespoon peanut butter, 1 tablespoon cocoa nibs, 1 teaspoon sprinkles, 1 scoop oat vanilla protein",Want a post-workout sweet treat? Try this brilliant banana split shake for extra protein and energy.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. Top with cocoa nibs and enjoy.,Energy,After Workout Shake,Plant Based ,Oat Protein,20.2 g,64.9 g,11.5 g,412,Yes,Yes,No,Yes,Yes,Yes
Orange and Banana Protein Shake,https://www.dropbox.com/s/blo464a9x4hazqa/Orange%20%26%20Banana%20Protein%20Shake%20v2.mp4?dl=0,https://youtube.com/shorts/Zc4zbwelgn8,"1/2 frozen banana, 1/2 cup light coconut milk, 1 tablespoon orange zest, 1/2 orange, 1/3 avocado, 1 scoop rice protein powder","Try out this orange and banana shake for muscle building. It's packed with healthy antioxidants, easy to make, and tastes great!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Muscle Gain Shakes,Whole 30,Rice Protein,18.1 g,35.2 g,19.2 g,362,Yes,Yes,Yes,Yes,Yes,Yes
Simple Spinach Shake,https://www.dropbox.com/s/qz2hqzbtxrqqn53/Simple%20Spinach%20v1.mp4?dl=0,https://youtu.be/LCAHoqUAxiE,"1/2 frozen banana, 1 cup spinach, 1 tbsp peanut butter, 1/2 cup almond milk, 1 scoop plant based protein powder","This simple, high-protein shake is a great way to build muscle and get your greens in at the same time!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Muscle Gain Shakes,Vegan ,Plant Based,26.3 g,25.2 g,12.2 g,294,No,Yes,No,Yes,Yes,Yes
Chia Peanut Protein Smoothie,https://www.dropbox.com/s/39ok9366d7puhfa/Chia%20Peanut%20Protein%20Smoothie%20v1.mp4?dl=0,https://youtube.com/shorts/fahGaknSNuM,"1/2 cup almond milk, 1/2 frozen banana, 1 tbsp chia seeds, 1 tbsp peanut butter, 1/4 tsp vanilla extract, 1 scoop oat protein powder","Get your muscle-building protein fix with this easy, nutty-flavored breakfast!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Muscle Gain Shakes,Plant Based,Oat Protein,34.0 g,27.1 g,12.9 g,349,No,Yes,No,Yes,Yes,Yes
Creamy Chocolate Smoothie,https://www.dropbox.com/s/u7trico20uxpfbk/Creamy%20Chocolate%20Peanut%20Shake%20v2.mp4?dl=0,https://youtube.com/shorts/t-b5u7vwjiM,"1 cup almond milk, 1 date, pitted, 2 tbs cocoa powder, 1 frozen banana, 1/4 tsp cinnamon, 1 scoop pea protein powder","A creamy, chocolatey, protein-rich smoothie is an excellent way to get the nutrients you need. This smoothie even contains antioxidants and helps your body build muscle.",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,Muscle Gain Shakes,Whole 30,Pea Protein,20.4 g,61.0 g,5.2 g,328,No,Yes,Yes,Yes,Yes,Yes
ABC Smoothie,https://www.dropbox.com/s/jixlts60ecyzuhw/ABC%20Shake%20v1.mp4?dl=0,https://youtu.be/4dtC8c_RqB0,"1/2 avocado, 1 cup frozen blueberries, 1/4 cup coconut cream, 1 scoop plant based protein powder,  1 cup almond milk","Avocado, blueberrie, and coconut line up in this nutrient packed, high protein ABC smoothie!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,High Calorie Protein Shakes,Vegan ,Plant Based,30.6 g,58.4 g,17.9 g,495,Yes,Yes,No,Yes,Yes,Yes
Buttercream-y Protein Shake,https://www.dropbox.com/s/fyw1qlgl6xe6d1o/Buttercream-y%20Shake%20v2.mp4?dl=0,https://youtube.com/shorts/1RRwA5odwOQ,"1/4 avocado, 1 banana, 1/4 cup quick oats, 1 tbs of peanut butter, 1 scoop oat protein powder, 1 cup almond milk",This shake is high in protein and healthy fats to help you build muscle and stay energized.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,High Calorie Protein Shakes,Whole 30,Oat Protein,44.8 g,72.0 g,19.8 g,618,Yes,Yes,No,Yes,Yes,Yes
Creamy Chocolate Peanut Shake,https://www.dropbox.com/s/5bw55d03f2julr9/Creamy%20Chocolate%20Peanut%20v1.mp4?dl=0,https://youtube.com/shorts/XnDWsXndDOE,"1 banana, 1 cup almond milk, 1/2 avocado, 1 tbs peanut butter, 1 scoop plant based protein powder","This high calorie chocolate and peanut shake is perfect for those who need some extra protein, or are looking to bulk up. ",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,High Calorie Protein Shakes,Plant Based,Plant Based,28.9 g,59.6 g,25.7 g,546,Yes,Yes,No,Yes,Yes,Yes
Nutty Banana Coconut Shake,https://www.dropbox.com/s/tzlpsnhjhnrkbjz/Nutty%20Banana%20Cocunut%20Shake%20v2.mp4?dl=0,https://youtube.com/shorts/dsTawwoTbsk,"1 banana, 1/2 cup coconut milk, 15 g walnuts, 1 scoop plant based protein powder",This shake is loaded with protein and potassium! It's also high in calories and fiber to keep you full for hours.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,High Calorie Protein Shakes,Paleo,Plant Based,22.9 g,36.2 g,38.2 g,544,Yes,Yes,No,Yes,Yes,Yes
Vanilla Honey and Almond Shake,https://www.dropbox.com/s/m2qpadztmij8io1/Vanilla%20Honey%20%26%20Almond%20Shake%20v2.mp4?dl=0,https://youtube.com/shorts/ZXS1Maw7M0s,"1 cup unsweetened almond milk, 1 tbs almond butter, 1 banana, 1/4 cup rolled oats, 1 tsp vanilla extract, 1 scoop oat protein powder, 1 tsp cinnamon, 1 tbs ground flaxseed, 1 tsp honey",Want to build muscle? This high calorie shake is packed with protein and healthy fats to help you reach your goals.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Muscle,High Calorie Protein Shakes,Plant Based,Oat Protein,30.4 g,67.1 g,17.2 g,524,Yes,Yes,No,Yes,Yes,No
High Fat Chocolate Shake,https://www.dropbox.com/s/w5mzhjs8c0p302x/High%20Fat%20Chocolate%20Shake%20v2.mp4?dl=0,https://youtube.com/shorts/b9uFJ2Vz0cc,"1/2 cup coconut milk, 1/2 avocado, 1 tbs cocoa powder, 1/2 tsp vanilla extract, Dash of salt, 1/2 cup ice as needed, 2 tbs peanut butter, 1 scoop casein protein powder",Looking to add some low carb and high protein goodness to your diet? This chocolate shake is perfect for you!,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,High Calorie Protein Shakes,Keto,Casein Protein,29.7 g,29.1 g,35.5 g,536,Yes,Yes,No,Yes,Yes,Yes
Cashew Cookie Shake,https://www.dropbox.com/s/ssmcydzn75kec28/Cashew%20Cookie%20Shake%20v2.mp4?dl=0,https://youtube.com/shorts/vmKyzV6ijNY,"1 cup light coconut milk, 1 scoop plant based protein powder, 1 tbsp cocoa powder, 1 tbsp cashew butter, 1/2 tsp cinnamin",Try out a cashew cookie shake for a delicious way to get your daily dose of protein and it's the perfect snack for people on a low carb diet.,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Weight,Low Carb Shakes,Paleo,Plant Based,28 g,14 g,25 g,387,Yes,Yes,No,Yes,Yes,Yes
Low Carb Coffee Smoothie,https://www.dropbox.com/s/6i3vrpvlcx3ou9z/Low%20Carb%20Coffee%20Smoothie%20v2.mp4?dl=0,https://youtube.com/shorts/TJmQu80pS3k,"1/2 cup light coconut milk, 1/2 cup almond milk, 1 teaspoon vanilla extract, 1/2 cup espresso or strong coffee, 1 tablespoon unsweetened cocoa powder, 1 scoop vanilla whey powder, 1/2 avocado, 1 cup ice",Our Low Carb coffee smoothie is a delicious way to get your daily dose of caffeine while keeping it low carb!,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Weight,Low Carb Shakes,Keto,Whey Protein,31 g,20 g,25 g,413,Yes,Yes,Yes,Yes,Yes,Yes
Coconut Berry Shake,https://www.dropbox.com/s/7jjnuyv8ofomkpg/Coconut%20Berry%20Shake%20V1.mp4?dl=0,https://youtu.be/uFr3XiKJGps,"1/2 avocado, 1/2 cup frozen raspberries, 1 tbsp lemon juice, ½ cup light coconut milk, 1 scoops pea protein powder","This low carb Coconut Berry Shake is a refreshing and healthy way to start your day! Made with simple ingredients, it's perfect for breakfast or a quick snack.",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Weight,Low Carb Shakes,Whole 30,Pea Protein,25 g,22 g,32 g,468,Yes,Yes,Yes,Yes,Yes,Yes
Lemony Smoothie,https://www.dropbox.com/s/3wif2kujn21mcjz/Lemony%20Smoothie%20v2.mp4?dl=0,https://youtube.com/shorts/bHcEC1kEwNI,"1/2 cup coconut milk, 1 tbs fresh ginger, grated, 1 lemon, peeled and frozen, 1 scoop vanilla whey protein powder",Start your day off right with this low carb Lemony Smoothie. It's a great way to fuel your body for the day ahead and it tastes delicious too!,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Immunity,Low Carb Shakes,Keto,Whey Protein,29 g,18 g,30 g,436,Yes,Yes,Yes,Yes,Yes,Yes
Keto Blueberry Shake,https://www.dropbox.com/s/jtk8ik63yxmrhny/Keto%20Blueberry%20Shake%20v1.mp4?dl=0,https://youtube.com/shorts/P67yz5rRqvo,"1/4 teaspoon vanilla extract, 1/4 cup almond milk, 1/2 cup coconut milk, 1 scoop whey protein, 1/4 cup blueberries",This keto blueberry shake is a delicious way to start your day. It's packed with healthy ingredients that will help you stay on track with your keto diet. ,1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Keto Shakes,Keto,Whey Protein,27 g,16 g,30 g,435,Yes,Yes,Yes,Yes,Yes,Yes
Chocolate Avocado Shake,https://www.dropbox.com/s/1rupaa6d1h251x0/Chocolate%20Avocado%20Shake%20v2.mp4?dl=0,,"1/2 avocado, diced, 1 cup almond milk, 1 tablespoon coconut oil, 1 scoop chocolate whey protein powder, 1/4 cup ice","The best thing about this recipe is that it's healthy, keto-friendly and dairy free. The avocado isn't just for flavor - it also provides potassium, fiber, vitamin E & C!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Keto Shakes,Keto,Whey Protein,29 g,26 g,33 g,492,Yes,Yes,Yes,Yes,Yes,Yes
Vanilla Bean Thickshake,https://www.dropbox.com/s/gl6olb7ekytobe2/Vanilla%20Bean%20Thick%20Shake%20v2.mp4?dl=0,https://youtube.com/shorts/px2ls7eXH_Y,"1/2 banana. 1/3 cup coconut milk, 1 tsp vanilla extract, 1 pinch sea salt, 1 scoop vanilla whey protein","Looking for a healthy keto smoothie option? This Vanilla Bean Thickshake is perfect! Made with almond milk, vanilla extract, and protein powder, it's a great way to start your day or refuel after a workout. ",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Keto Shakes,Keto,Casein Protein,26 g,21 g,20 g,369,Yes,Yes,Yes,Yes,Yes,Yes
Coffee & Banana Shake,https://www.dropbox.com/s/tsxi351afxnspry/Coffee%20Banana%20Shake%20V1.mp4?dl=0,https://youtube.com/shorts/0AwpAkvMuWY,"1/3 cup espresso, 1 tbs cocoa powder, 1 scoop plant based protein, 1 frozen banana, 2 pitted dates","Greens, avocados and bananas will give you the nutrients needed to fuel your workout. This shake will keep you full for hours because of its high fiber content which in turn helps curb appetite. ",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Pre Workout Shakes,Vegan ,Plant Based,27 g,73 g,3 g,390,Yes,Yes,Yes,Yes,No,Yes
Wild Berrie Zone,https://www.dropbox.com/s/k41yl7ieh4haju7/wild%20berrie%20zone.MOV?dl=0,https://youtu.be/gfAFdLqEloE,"1/2 cup Strawberries, 1/4 cup  raspberries, 1/2 cup blueberries, 1/4 cup blackberries, 1/2  cup fat-free vanilla frozen yogurt, 1 cup cranberry juice","This smoothie is good in low in calories and rich in  high  fiber, vitamin C, and antioxidants.",1. Place the all ingredients  into a blender; blend until smooth,Good for weight loss,Low Carb Shakes,,,6 g,74 g,1,304,,yes,yes,yes,yes,yes
Blue Almond Fiesta,https://www.dropbox.com/s/8zc83aycx9dusx4/blue%20almond%20fiesta.MOV?dl=0,https://youtu.be/xCf5P5kwVY4,"10 Almonds,  1/2 cup blueberries,1 tablespoon peanut butter, 1 cup soy milk, 1/4 cup fat-free vanilla frozen yogurt",This quick and easy smoothie is packed with protein,Place all ingredients into the jar of a blender. Blend until smooth. ,Muscle,Peanut Butter Shake,,,16 g,37 g,18 g,351,,Yes,No,No,Yes,yes
Blue Sky Shake,https://www.dropbox.com/s/npv3l1z9zybfdd0/Blue%20Sky%20Shake%20v1.mp4?dl=0,https://youtube.com/shorts/SZB0iwUo-hM,"1 frozen banana, 1/4 cup blueberries, 1/2 cup coconut milk, 2 tablespoons coconut yogurt, 1/2 teaspoon honey, 1/4 teaspoon blue spirulina powder, 1 scoop vanilla rice protein powder","This pretty, blue sky treat is not only delicious, but it's fun for everyone!","1. Combine all ingredients except 1/2 tablespoon yogurt in a blender. Add more ice or water to reach the desired consistency. 
2. In a cup, use a spoon to brush the remaining coconut yogurt across the sides to create cloud shapes
3. Pour the smoothie into the cup and enjoy your blue sky",Energy,Meal Replacement Shakes,Plant Based ,Rice Protein,27.2 g,46.1 g,10.1 g,372,Yes,Yes,Yes,Yes,Yes,No
Green Delite,https://www.dropbox.com/s/0s4ntl11usla52c/green%20delight.MOV?dl=0,https://youtu.be/rx5x5CuUG98,"1 medium Banana, 1/2 cup blueberries, 4 almonds, 1/2 cup spinach, 1/2 cup kale, 1 cup coconut water, 3-4 ice",it is a great immune boosting smoothie that’s quick and easy to make and it will leave you feeling full and satisfied. ,Place all ingredients into blender or a NutriBullit and blend until smooth.,Immunity,Meal Replacement Shakes (breakfast),,,6 g,52 g,2 g,240,breakfast,yes,no,yes,yes,yes
Smooth Banana Nut,https://www.dropbox.com/s/kgqj9peubocoqze/banana%20nut.MOV?dl=0,https://youtu.be/8HUNzLbKNqQ,"1 medium Banana,¼ cup chopped pecans, ¼ cup chopped almonds, 1/4 cup skim milk,¾ cup fat-free vanilla frozen yogurt, a touch of honey (1 teaspoon)","Packed with vitamins, minerals and omega-3’s","Process banana, pecans, almonds, skim milk, yogurt and honey, in a blender until smooth. Pour into glass, and serve immediately.",Energy,Meal Replacement Shakes,,,15 g,70g,25g,554,breakfast,yes,No,yes,yes,yes
Raspberry Zinger Haven,https://www.dropbox.com/s/0boykypfv1uzz9j/rasp%20zinger%20haven.MOV?dl=0,https://youtu.be/4eK_gZzbzcY,"1 cup Raspberries, 1 small banana,1 lime, 1 tablespoon apple cider, 1 cup fat-free vanilla frozen yogurt",it is perfect for cooling down on a hot day or as a post workout ,Place all ingredients into blender and blend until smooth,Energy,After Workout Shake,,,8 g,85 g,1 g,362,,yes,yes,yes,yes,yes
No Bull Berry Light,https://www.dropbox.com/s/nqdjp3gjs6cyvin/no%20bull%20berry.MOV?dl=0,https://youtu.be/9L0G0szeCMo,"1/2 cup Strawberries, 1/2 cup raspberries, 1/2 cup blueberries, 1 cup soy milk, 1/2 cup fat-free vanilla frozen yogurt, 1 tablespoon honey",packed with protein to keep you full throughout the day,"Add all of the ingredients to a blender. Pulse for 30 seconds, stir and pulse for an additional 30 seconds. Pour into one  glass and serve immediately or refrigerate until ready to serve",Appearance,Meal Replacement Shakes,,,12 g,69 g,4 g,353,breakfast,yes,yes,No,yes,yes
Strawberry Lemon Explosion,https://www.dropbox.com/s/ku8qid58bj7l7rc/straberry%20lemon%20explosion.MOV?dl=0,https://youtu.be/EWL2ZyjThKk,"1 cup Strawberries, 1/2 cup fresh lemonade, 1 cup fat-free vanilla frozen yogurt","Sweet, tangy and wonderfully refreshing smoothie","Combine strawberries, yogurt, lemonade in blender until smooth.Serve immediately.",Appearance,Weight Loss Shakes,,,8 g,78 g,0 g,338,,yes,yes,yes,yes,yes
Awesome Peanut Butter,https://www.dropbox.com/s/d6vp4hxftq4d8la/awsm%20peanut%20butter.MOV?dl=0,https://youtu.be/DuQN7t0bkYM,"1 tablespoon Peanut butter, 1 medium banana, 1/2 cup skim milk, 1/4 cup fat-free vanilla frozen yogurt","It's creamy, protein rich and filling for breakfast.",Purée all ingredients in a blender until smooth.,Energy,Meal Replacement Shakes,,,11 g,47 g,8 g,285,,yes,no,yes,yes,yes
Blueberry Pie Cloud,https://www.dropbox.com/s/dm1giv1itoe64v3/Blueberry%20Pie%20-%20Smoothie%20Reel.mp4?dl=0,https://youtube.com/shorts/BVc-RKHFljQ,"1/2 cup Blueberries, 1/2 cup raspberries, 1/2 cup granola, 1 cup pineapple juice, 1/2 cup fat-free vanilla frozen yogurt","A delicious blend of berries, yoghurt & granola, makes a healthy breakfast, snack or dessert","Place all ingredients, except granola, into a blender and puree until smooth.
Pour smoothie into a glass or bowl. Stir through granola (or sprinkle over top) and serve with a spoon
",Energy,Meal Replacement Smoothies,,,14 g,113 g,4 g,553,"breakfast, lunch ",yes,No,yes,yes,yes
Hot San Diego,https://www.dropbox.com/s/zb8ttff03wm03gb/hot%20san%20diego.MOV?dl=0,https://youtu.be/Dm_bKBseIzU,"1/2 cup Strawberries, 1 small banana, 1 cup fresh-squeezed orange juice",Delicious no sugar added strawberry banana orange smoothie,Process everything in a blender into fine consistency and enjoy,Weight,Weight Loss Shakes,,,4 g,55 g,0g,226,,yes,yes,yes,yes,yes
Baby Mango ,https://www.dropbox.com/s/qpe4ef946z0h7h4/baby%20mango.MOV?dl=0,https://youtu.be/wOYvlNQAOas,"1/2 cup  chopped Mango, 1/2 cup chopped pineapple, 1 cup fresh-squeezed orange juice",Enjoy the tropical flavors with this delicious cold mango pineapple smoothie with orange juice,"add mango, pineapple and orange juice into a blender and Blend it until smooth",Immunity,Anti Inflammatory Smoothies,,,3g,49 g,0 g,203,,yes,yes,yes,yes,yes
Red Kiwi Brothers,https://www.dropbox.com/s/23xtgaerjeg3bz6/red%20kiwi%20brothers.MOV?dl=0,https://youtu.be/RmPMGPJReR8,"1 Kiwi, 6 strawberries, 1 medium banana, 1/2 cup fat-free vanilla frozen yogurt, 1 tablespoon apple cider","Delicious Creamy kiwi, Strawberry Banana Smoothie made with yogurt.","Place the banana, strawberries, kiwi, vanilla frozen yogurt, and apple cider in a blender. Blend until smooth.",Appearance,Weight Loss Shakes,,,6 g,64g,1 g,272,,yes,yes,yes,yes,yes
Blue Oat-Crunch,https://www.dropbox.com/s/ttyyrxo0uqcdr3r/Blue%20Oat%20-%20Smoothie%20Reel.mp4?dl=0,https://youtube.com/shorts/QLqqj1n_Tuk?feature=share,"1/2 cup Blueberries, 1 medium banana, 1/4 cup oat squares, 1/2 cup fat-free vanilla frozen yogurt, 1/4 cup apple juice","This is a fruity, delicious, and easy-to-make smoothie.",Place all ingredients into blender and blend until smooth,Energy,Weight Loss Shakes,,,8g,86 g,2 g,372,,yes,yes,yes,yes,yes
Dirty Chicago,https://www.dropbox.com/s/2e755hhra8sn72q/Dirty%20Chicago%20v1.mp4?dl=0,https://youtu.be/qif2gN68jS8,"1/2 cup Mango, 1 small banana, 1/4 cup coconut, 1/2 cup pineapple juice, 1/2 cup orange juice, 1/2 cup fat-free vanilla frozen yogurt","Enriched with fresh mango, coconut, banana, and pineapple and orange juice smoothie is a nutritious tropical delight for the taste buds. ",Add all the ingredients in a blender.Blend until smooth. Serve immediately.,Energy,Meal Replacement Shakes,,,7 g,86g,7 g,423,breakfast,yes,no,yes,yes,yes
